"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J1","TSW-103-25-F-S-RA","1110mil","1150mil","1110mil","1250mil","1110mil","1250mil","B","270.00","TSW-103-25-F-S-RA"
"J2","TSW-103-25-F-S-RA","1740mil","1150mil","1740mil","1050mil","1740mil","1050mil","B","90.00","TSW-103-25-F-S-RA"
"U2","SOT23-8_3x3mm","1430.795mil","1175.181mil","1430.795mil","1175.181mil","1392.409mil","1124mil","T","0.00","INA219BIDCNT"
"C3","0402_CAPC1005N_-_MD","1600mil","1140mil","1600mil","1140mil","1579.331mil","1140mil","T","0.00","C1005X7R1H104K"
"R3","0402_RESC1005N_MD","1535mil","1165mil","1535mil","1165mil","1535mil","1145.315mil","T","90.00","ERJ-2RKF3301X"
"R4","0402_RESC1005N_MD","1445mil","1300mil","1445mil","1300mil","1445mil","1319.685mil","T","270.00","ERJ-2RKF3301X"
"U3","DFN-4_5x3.2mm","1260mil","1205mil","1260mil","1205mil","1210.787mil","1161.693mil","T","0.00","KC5032A10.0000CMGE00"
"C4","0402_CAPC1005N_-_MD","1175mil","1325mil","1175mil","1325mil","1154.331mil","1325mil","T","0.00","C1005X7R1H104K"
"R1","0402_RESC1005N_MD","1235.905mil","1697.118mil","1235.905mil","1697.118mil","1235.905mil","1677.433mil","B","90.00","ERJ-2RKF1200X"
"R5","0402_RESC1005N_MD","1350mil","1500mil","1350mil","1500mil","1369.685mil","1500mil","B","180.00","ERJ-2RKF1002X"
"R6","0402_RESC1005N_MD","1200mil","1400mil","1200mil","1400mil","1200mil","1419.685mil","B","270.00","ERJ-2RKF3300X"
"C5","0402_CAPC1005N_-_MD","1265mil","1520mil","1265mil","1520mil","1265mil","1499.331mil","B","90.00","C1005X7R1H104K"
"C6","0603_CAPC1608N_-_MD","1570mil","1105mil","1570mil","1105mil","1540.473mil","1105mil","B","0.00","C1608X5R1A106M"
"C7","0402_CAPC1005N_-_MD","1600mil","1190mil","1600mil","1190mil","1579.331mil","1190mil","B","0.00","C1005X7R1H104K"
"C8","0402_CAPC1005N_-_MD","1135mil","1340mil","1135mil","1340mil","1135mil","1360.669mil","B","270.00","C1005X7R1H104K"
"R7","0805_RESC2012N_-_MD","1405mil","1050mil","1405mil","1050mil","1363.661mil","1050mil","T","0.00","PMR10EZPFU8L00"
"R2","0402_RESC1005N_MD","1275mil","1050mil","1275mil","1050mil","1255.315mil","1050mil","B","0.00","ERJ-2RKF3300X"
"R8","0402_RESC1005N_MD","1450mil","1050mil","1450mil","1050mil","1469.685mil","1050mil","B","180.00","ERJ-2RKF3300X"
"J3","502386-0470","1117.008mil","1575.606mil","1180mil","1649.425mil","1180mil","1649.425mil","T","90.00","502386-0470"
"J4","502386-0470","1117.008mil","1575.606mil","1180mil","1501.787mil","1180mil","1501.787mil","B","270.00","502386-0470"
"J5","502386-0370","1733.992mil","1500mil","1671mil","1450.787mil","1671mil","1450.787mil","T","270.00","502386-0370"
"J6","502386-0370","1732.992mil","1499.213mil","1670mil","1548.425mil","1670mil","1548.425mil","B","90.00","502386-0370"
"J7","502386-0570","1450.425mil","1633.992mil","1352mil","1571mil","1352mil","1571mil","B","180.00","502386-0570"
"C9","0402_CAPC1005N_-_MD","1600mil","1590mil","1600mil","1590mil","1579.331mil","1590mil","T","0.00","C1005X7R1H104K"
"U1","SOIC127P600X175-8N","1390mil","1575mil","1390mil","1575mil","1484.488mil","1500mil","T","180.00","SN65HVD1050DR"
"U4","QFN-28_6x6mm","1375.772mil","1270.89mil","1375.772mil","1270.89mil","1299mil","1389mil","B","270.00","DSPIC33EV256GM102-I/MM"

